,seed,actions
29,3943420029,"[3, 1, 3, 2, 0, 2, 1, 1, 1, 0, 0, 3, 1, 2, 1, 1, 3, 0, 2, 3, 1, 2, 2, 1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 2, 1, 1, 3, 0, 2, 3, 1, 3, 1, 2, 3, 0, 2, 0, 2, 0, 0, 3, 1, 2, 1, 1, 2, 1, 3, 2, 3, 0, 0, 0, 3, 1, 2, 1, 3]"
30,3943420030,"[2, 1, 0, 3, 1, 1, 1, 2, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 3, 2, 1, 3, 3, 1, 2, 3, 0, 2, 0, 0, 0, 2, 1, 3, 1, 1, 1, 2, 0, 0, 3, 2, 1, 1, 2, 3, 0, 0, 3, 0, 0, 2, 1, 3, 1, 1, 1, 2, 2, 2, 3, 3, 0, 0, 3, 0, 0, 2, 1, 1, 1, 0, 0, 3, 1, 1, 1, 2]"
31,3943420031,"[1, 0, 2, 2, 2, 1, 2, 2, 0, 3, 2, 1, 3, 3, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 3, 2, 1, 2, 2, 0, 3, 3, 3, 3, 1, 2, 2, 2, 3, 2, 0, 2, 1, 1, 1, 1]"
32,3943420032,"[1, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 3, 1, 2, 1, 2, 0, 1, 0, 3, 1, 3, 0, 0, 2, 0, 2, 2, 1, 2, 3, 0, 3, 3, 1, 2, 1, 1, 3, 0, 3, 0, 2, 0, 2, 2, 2, 1, 3, 3, 2, 2, 2, 0, 3, 3, 3, 3, 1, 1, 1, 1]"
33,3943420033,"[1, 2, 0, 2, 2, 1, 1, 2, 3, 0, 0, 3, 3, 1, 2, 1, 0, 0, 2, 2, 1, 1, 1, 3, 2, 3, 0, 2, 0, 3, 0, 3, 3, 1, 2, 1, 2, 0, 3, 1, 2, 1, 2, 0, 0, 0, 3, 3]"
34,3943420034,"[2, 0, 1, 1]"
35,3943420035,"[2, 0, 0, 0, 3, 0, 1, 2, 0]"
36,3943420036,"[2, 3, 1, 2, 0, 1, 3, 0, 0, 0, 2, 2, 2, 1, 1, 3, 0, 2, 1, 2, 1, 2, 0, 0, 3, 0, 3, 3, 3, 3, 1, 1, 1, 2, 2, 0, 1, 3, 3, 0, 2, 1, 2, 2, 3, 3, 0, 3, 0, 0, 2, 2, 1, 1, 3, 2, 0, 2, 1, 1, 1, 2, 0, 3, 3, 0, 1, 2, 2, 2, 0, 0, 3, 1, 2, 3, 0, 3, 1, 3, 1, 2, 1, 2, 0, 2, 3, 1, 3, 0, 3, 0, 3, 3, 1, 2, 0, 2, 0, 2, 2, 1, 2, 3, 0, 3, 1, 1, 3, 0, 1, 2, 0, 0, 2, 0, 2, 1, 1, 1, 3, 2, 3, 0, 2, 0, 3, 3, 1, 3, 3, 3, 1, 2, 0, 2, 0, 2, 1, 2, 1, 1, 3, 0, 3, 2, 0, 3, 1, 2, 2, 2, 0, 3, 0, 0, 3, 3, 3, 3, 1, 1, 1, 2, 0, 2, 0, 2, 1, 1, 3, 0, 1, 2, 2, 0, 0, 3, 1, 3, 3, 3, 1, 2, 0, 2, 0, 2, 1, 2, 1, 2, 0, 0, 0, 3, 2, 1, 3, 3, 1, 1, 3, 0, 1, 2, 2, 2, 0, 3, 0, 0, 3, 1, 1, 3, 3, 3, 1, 2, 0, 2, 0, 2, 0, 3, 2, 3, 1, 2, 1, 1, 3, 0, 3, 3, 1, 2, 0, 1, 3, 0, 0, 0, 2, 3, 1, 1, 2, 2, 0, 2, 1, 1, 3, 0, 3, 3, 0, 0, 2, 2, 3, 2, 1, 2, 1, 3, 3, 3, 1, 2, 0, 2, 0, 0, 2, 3, 2, 1, 1, 1, 3, 0, 1, 2, 2, 2, 0, 3, 0, 3, 0, 2, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 0, 3, 1, 3, 0, 0, 0, 2, 2, 2, 1, 1, 1, 1, 2, 0, 0]"
37,3943420037,"[1, 2, 0]"
38,3943420038,"[0, 3, 1, 3, 3, 0, 0, 2, 0, 2, 1, 0, 1, 3, 0, 3, 1, 1, 1, 2, 0, 1, 2, 0, 1, 2, 0, 3, 3, 1, 3, 0, 0, 0, 2, 2, 1, 0, 3, 3, 1, 1, 2, 0, 2, 3, 3, 1, 1, 2, 2, 2, 0, 3, 1, 3, 0, 1, 2, 2, 0, 3, 0, 3]"
39,3943420039,"[1, 3, 2, 3, 1, 3, 3, 0, 3, 0, 0, 2, 0, 2, 1, 2, 1, 2, 3, 0, 0, 3, 1, 3, 0, 3, 1, 1, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 0, 2, 0, 2, 1, 2, 1, 2, 3, 0, 0, 3, 1, 3, 0, 3, 1, 1, 1, 1, 2, 2, 0, 3, 1, 2, 2, 0, 2, 3, 3, 1, 3, 3, 0, 2, 1, 2, 0, 2, 0, 2, 3, 1, 3, 1, 3, 0, 3, 0, 3, 2, 1, 2, 1, 2, 0, 2, 0, 0, 1, 0, 3, 3, 0, 3, 1, 2, 0, 2, 0, 2, 2, 1, 3, 0, 3, 3, 3, 1, 1, 2, 2, 2, 1, 2, 1, 3, 3, 1, 3, 0, 3, 0, 3, 2, 1, 2, 1, 2, 0, 2, 2, 0, 3, 0, 0, 0, 3, 1, 2, 3, 0, 3, 3, 1, 1, 2, 0, 2, 2, 1, 3, 0, 1, 2, 1, 2, 1, 3, 3, 1, 3, 0, 3, 0, 3, 2, 1, 2, 1, 2, 0, 2, 2, 0, 3, 0, 0, 3, 0, 3, 3, 1, 1, 2, 0, 2, 2, 1, 1, 2, 1, 3, 3, 1, 3, 0, 3, 0, 3, 2, 1, 2, 1, 2, 0, 2, 2, 0, 3, 0, 3, 0, 1, 2, 1, 2, 1, 3, 3, 1, 3, 0, 3, 0, 0, 2, 2, 3, 0, 2, 2, 1, 0, 3, 1, 3, 0, 0, 3, 1, 0, 2, 2, 1, 1, 2, 1, 2, 3, 0, 0, 3, 1, 3, 0, 3, 1, 2, 0, 2, 1, 2, 1, 2, 1, 3, 2, 3, 1, 3, 3, 0, 3, 0, 3, 2, 1, 2, 1, 2, 2, 0, 3, 2, 2, 0, 3, 0, 0, 3, 1, 3, 0, 3, 1, 2, 0, 2, 1, 2, 1, 2, 1, 3, 3, 1, 3, 3, 0, 0, 1, 2, 1, 2, 2, 0, 2, 0, 3, 0, 0, 3, 1, 3, 0, 3, 1, 2, 0, 2, 1, 2, 1, 2, 1, 3, 1, 3, 3, 0, 2, 1, 3, 0, 3, 0, 3, 2, 1, 2, 1, 2, 2, 0, 2, 3, 3, 1, 3, 0, 3, 0, 0, 2, 0, 2, 1, 2, 1, 2, 1, 3, 3, 3, 1, 3, 0]"
40,3943420040,"[3, 3, 0, 0, 2, 0, 3, 0, 0, 2, 2, 1, 1, 2, 1, 3, 2, 0, 3, 3, 3, 1, 1, 2, 0, 3, 2, 1, 1, 2, 0, 1, 3, 0, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 2, 0, 2, 3, 1, 3, 0, 2, 0, 2, 1, 3, 3, 3, 0, 0, 2, 1, 2, 0, 1, 3, 3, 1, 1, 2, 0, 3, 2, 1, 1, 2, 0, 0, 2, 0, 3, 0, 3, 1, 3, 2, 0, 2, 1, 1, 3, 0, 3, 1]"
41,3943420041,"[0, 3, 0, 0, 3, 0, 2, 2, 1, 2, 1, 3, 2, 2, 0, 3, 0, 3, 1, 1, 1, 1, 2, 0, 3, 3, 0, 3, 2, 1, 2, 0, 0, 2, 1, 2, 3, 0, 2, 0, 3, 3, 1, 1, 3, 0, 1, 0, 2, 0, 2, 2, 1, 1, 3, 3, 1, 1, 2, 0, 3, 3, 0, 0, 3, 0, 2, 1, 1, 1, 2, 0, 0, 2, 1, 2, 3, 0, 3, 3, 0, 2, 1, 3, 1, 1, 2, 1, 2, 0, 3, 3, 0, 0, 3, 0, 2, 2, 1, 2, 1, 2, 3, 0, 2, 0, 3, 2, 3, 1, 1, 3, 3, 1, 2, 1, 2, 0, 3, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 2, 0, 2, 0, 0, 3, 2, 1, 3, 1, 1, 3, 3, 0, 0, 0, 2, 3, 1, 1, 1, 2, 2, 0, 0, 3, 0, 1, 2, 1, 2, 0, 0, 3, 2, 3, 1, 1, 1, 3, 3, 0, 3, 0, 0, 2, 1, 0, 2, 1, 3, 1, 0, 1, 3, 0, 0, 2, 2, 1, 2, 1, 2, 0, 0, 3, 3]"
42,3943420042,"[0, 2, 2, 1, 1, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 3, 3, 1, 1, 2, 3, 0, 0, 2, 2, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 2, 2, 0, 3, 3, 1, 2, 0, 3, 0, 3, 3, 1, 1, 2]"
43,3943420043,"[3, 1, 0, 1, 2, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 3, 1, 2, 1, 1, 3, 1, 3, 3, 0, 2, 1, 2, 2, 0, 3, 0, 2, 3, 1, 2, 1, 3, 3, 3, 0, 2, 1, 2, 2, 0, 0, 3, 0, 1, 2, 1, 3, 3, 2, 2, 0, 3, 0, 2, 0, 0, 3, 1, 1]"
44,3943420044,[]
45,3943420045,"[3, 2, 0, 0, 3, 3, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 3, 0, 1, 2, 0, 0, 0, 3, 3, 3, 3, 1, 2, 0, 2, 2, 2, 1, 1, 3, 0, 2, 0, 3, 3, 3, 1, 2, 0, 3, 1, 3, 3, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 3, 0, 3, 0, 3]"
46,3943420046,[]
47,3943420047,[]
48,3943420048,"[1, 0, 3, 1, 1]"
49,3943420049,[]
50,3943420050,"[3, 1, 3, 2, 0, 3, 1, 3, 1, 0, 2, 0, 3, 1, 1, 3, 3, 0, 2, 1, 3, 0, 0, 0, 2, 1, 2, 3, 0, 3, 1, 1, 1, 2, 2, 0, 1, 3, 3, 0, 0, 2, 1, 0, 0, 3, 1, 1, 2, 2, 2, 0, 3, 1, 3, 3, 0, 0, 2, 1]"
51,3943420051,"[2, 0, 0, 0, 3, 0, 3, 3]"
52,3943420052,"[1, 0, 0, 0, 2, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 3, 0, 3, 0, 0, 2, 2, 2, 1, 3, 1, 1, 3, 1, 3, 0, 1, 0, 2, 2, 2, 0, 3, 0, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 3, 3, 0, 1, 2, 0, 3, 1, 1, 2, 0, 2, 2, 0, 3, 0, 0, 3, 1, 2, 3, 0, 3, 1, 2, 2, 0, 2, 1, 1, 1, 3, 3, 0, 2, 1, 2, 0, 0, 3, 0, 3, 3, 1, 1, 3, 2, 0, 0, 2, 1, 2, 3, 0, 3, 1, 1, 2, 3, 0, 2, 1, 1, 1, 3, 0, 1, 0, 2, 0, 2, 1, 0, 0, 3, 3, 1, 3, 2, 0, 2, 1, 2, 1, 2, 0, 1, 3, 0, 0, 3, 1, 1, 1, 3, 0, 1, 0, 2, 2, 2, 0, 0, 3, 3, 3, 1]"
53,3943420053,"[1, 2, 1, 1, 2, 2, 1, 3, 3, 2, 2, 0, 3, 3, 1, 1, 3, 0, 1, 2, 0, 0, 3, 3]"
54,3943420054,"[1, 3, 0, 1, 3, 2, 0, 2, 0, 3, 2, 3, 1, 2, 1, 3, 3, 3, 3]"
55,3943420055,[]
56,3943420056,[]
57,3943420057,[]
58,3943420058,"[3, 1, 3, 1, 1, 2, 1, 0, 3, 0, 0, 2, 1, 3, 1, 1, 1, 2, 0, 0, 3, 2, 1, 1, 2, 0, 1, 3, 3, 0, 0, 0, 0, 2, 1]"
59,3943420059,"[0, 1, 1]"
60,3943420060,"[1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 0, 2, 0, 3]"
61,3943420061,"[0, 1, 1, 1, 2, 2, 0, 2, 0, 3, 1, 0, 2, 2, 1, 2, 1, 3, 3, 3, 3, 3, 0, 2, 3, 0, 2, 1, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 1, 3, 3, 3, 3, 0, 3, 0, 2, 1, 2, 2, 2, 1, 3, 3, 0, 2, 0, 3, 1, 0, 2, 2, 1, 1, 2, 0, 3, 2, 1, 3, 3, 3, 0, 3, 3, 0, 2, 1, 2, 1, 2, 2, 2, 0, 0, 1, 3, 1, 3, 3, 0, 2, 0, 3, 1, 0, 2, 2, 1, 2, 1, 3, 3, 3, 3, 0, 3, 0, 2, 2, 2]"
62,3943420062,[]
63,3943420063,"[1, 2, 3, 1, 2, 0, 2, 2, 1, 3, 0, 1, 2, 2, 0, 1, 0, 3, 3, 3, 3, 1, 2, 0, 2, 2, 2, 0, 2, 3, 1, 1, 3, 3, 0, 3, 3, 1, 1, 2, 0, 2, 3, 3, 0, 2, 2, 2]"
64,3943420064,"[3, 3, 1, 2, 1, 0, 3, 3, 1, 2, 1, 0, 3, 0, 0, 2, 2, 1, 2, 1, 3, 0, 2, 0, 3, 3, 1, 3, 1, 2, 1, 0, 3, 0, 0, 2, 2, 2, 2, 2, 1, 3, 3, 3, 2, 1, 3, 0, 2, 2, 2, 0, 3, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 1, 3, 3, 0, 2, 1, 0, 3, 1, 1, 3, 0, 2, 2, 0, 2, 1, 3, 0, 2, 0, 3, 3, 3, 1, 0, 1, 2, 1, 1, 3, 0, 2, 2, 0, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 0, 1, 2, 1, 2, 2, 0, 1, 3, 0, 3, 1, 1, 3, 0, 2, 2, 0, 2, 2, 0, 3, 1, 1, 3, 0, 3, 0, 3, 1, 0, 1, 2, 1, 2, 0, 2, 0, 3, 2, 3, 1, 2, 1, 3, 3, 0, 3, 0, 2, 1, 1, 1, 3, 0, 2, 2, 0, 3, 0, 2, 3, 3, 1, 0, 1, 2, 1, 2, 0, 0, 2]"
65,3943420065,"[3, 0, 3, 2, 1, 3, 0, 3, 2, 1, 3]"
66,3943420066,"[1, 3, 2, 1, 3]"
67,3943420067,"[1, 0, 2, 2, 1, 3, 1, 1, 2, 2, 0, 3, 1, 0, 0, 2, 1, 2, 2, 0, 3, 0, 3, 3, 3, 3, 1, 0, 1, 2, 0, 2, 2, 1, 1, 3, 1, 3, 0, 2, 1, 3, 3, 0, 2, 2, 1, 2, 2, 0, 2, 0, 3, 3, 0, 3, 3, 3, 1, 0, 2, 1, 3, 0, 2, 2, 2, 1, 1, 3, 1, 3, 3, 0, 2, 1, 2, 2, 2, 0, 2, 0, 3, 3, 0, 3, 3, 3, 1, 0, 1, 2, 1, 1, 2, 0, 1, 0, 3, 1, 3, 0, 2, 0, 2, 1, 1, 3, 0, 0, 0, 3, 1, 0, 1, 2, 1, 2, 1, 2, 2, 0, 2, 0, 3, 0, 3, 1, 2, 3, 0, 3, 3, 1, 1, 2, 1, 3, 3, 0, 2, 2, 2, 3, 1, 3, 0, 0, 0, 3, 1, 0, 1, 2, 1, 2, 2, 2]"
68,3943420068,"[0, 2, 0, 3, 0, 0, 3, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 1, 2, 1, 2, 1, 3, 1, 3, 0, 2, 2, 0, 3, 0, 0, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 1, 3, 1, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 0, 2, 1, 2, 1, 3, 1, 3, 0, 2, 2, 0, 3, 0, 0, 0, 3, 3, 1, 2, 1, 1, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 2, 1, 3, 1, 3, 0, 0, 2, 0, 1, 3, 0, 2, 0, 3, 0, 2, 3, 3, 3, 1, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1]"
69,3943420069,"[2, 1, 2, 3, 0, 3, 3, 1, 2, 1, 2, 3, 0, 3, 0, 2, 2, 1, 2, 1, 1, 2, 1, 1, 3, 3, 0, 2, 1, 2, 0, 3, 0, 0, 0, 3, 3, 1, 2]"
70,3943420070,[]
71,3943420071,"[2, 0, 1, 3, 1, 2, 2, 1, 0, 3, 0, 0, 2, 1, 1, 0, 0, 3, 1, 3, 1, 2, 1, 2, 2, 2]"
72,3943420072,"[2, 1, 0, 3, 1, 1, 1, 2, 0, 1, 1, 1, 3, 0, 1, 2, 0, 0, 0, 3, 1, 2, 0, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 2, 1, 3, 1, 2, 0, 0, 3, 0, 0, 2, 1]"
73,3943420073,[]
74,3943420074,"[0, 2, 3, 1, 2, 0, 2, 2]"
75,3943420075,"[1, 2, 3, 3, 3]"
76,3943420076,"[1, 2, 3, 2, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 3, 1, 2, 1, 3, 3, 3, 3, 3, 0, 1, 2, 2, 2, 0, 2, 2, 0, 3, 0, 2, 0, 3, 3, 0, 3, 3, 1, 2, 2, 0, 2, 1]"
77,3943420077,[]
78,3943420078,"[2, 1, 0, 3, 1, 1, 1]"
79,3943420079,[]
80,3943420080,[]
81,3943420081,"[3, 0, 1, 2, 2, 0, 3, 0, 3, 2, 1, 1, 3, 0, 3, 0, 0, 1, 1, 1, 2, 2, 2, 0, 3, 0, 3, 2, 3, 1, 3, 0]"
82,3943420082,"[3, 2, 1, 3, 0, 3, 2, 1, 3]"
83,3943420083,"[3, 1, 2, 3, 0, 2, 0, 0, 3, 1, 0, 1, 2, 1, 1, 3, 1, 2, 3, 0, 2, 0, 0, 3, 1, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 1, 2, 1, 1, 3, 0, 0]"
84,3943420084,"[3, 0, 0, 0]"
85,3943420085,"[3, 3, 3, 0, 0, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 1, 1, 2, 2, 2, 0, 1, 3, 3, 3, 3, 0, 0, 0, 0, 2, 1, 2, 2, 2, 1, 2, 3, 0, 3, 3, 3, 1, 0, 1, 3, 1, 1, 2, 2, 2, 2, 0, 1, 3, 3, 3, 3, 0, 0, 2, 0, 2, 2, 2, 1, 2, 3, 0, 3, 3, 3, 1, 3, 1, 1, 2, 0, 1, 2, 2, 2, 0, 1, 3, 3, 3, 0, 0, 3, 2, 1, 1, 2, 2, 2, 0, 0, 2, 3, 1, 1, 3, 3, 3, 3, 0, 0, 0, 0, 2, 1, 2, 3, 3, 1, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 3, 1, 1, 1, 3, 3, 3, 0, 0, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 3, 2, 1, 1, 1, 3, 3, 3, 3, 0, 0, 0, 0, 2, 1, 3, 1, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 3, 3, 3, 2, 2, 1, 1, 1, 3, 3, 3, 3, 0, 0, 0, 2, 3, 1, 1, 2, 0, 0, 1, 0, 3, 1, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 3, 3, 3, 2, 2, 1, 1, 1, 3, 3, 3, 3, 0, 0, 0, 2, 2, 2, 3, 3, 1, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 1, 1, 2, 2, 2, 0, 0, 2, 0, 3, 1, 1, 1, 3, 3, 3, 3, 0, 0, 0, 0, 2, 1, 2, 2, 3, 3, 1, 0, 1, 3, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 3, 3, 3, 2, 2, 1, 1, 1, 3, 3, 3, 3, 0, 0, 2, 1, 0, 3, 0, 0, 2, 1, 2, 3, 3, 1, 1, 1, 2, 0, 0, 3, 2, 1, 1, 2, 3, 3, 0, 0, 0, 0, 2, 1, 2, 3, 3, 1, 1, 2, 0, 0, 2, 2, 2, 1, 1, 1, 3, 3, 2, 2, 0, 0, 2, 0, 3, 3, 3, 3, 1, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 1, 3, 1, 2, 3, 0, 0, 0, 0, 2, 1, 2, 3, 3, 1, 1, 1, 2, 2, 3, 3, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 1, 1, 3, 3, 3, 0, 0, 3, 2, 1, 1, 2, 2, 2, 0, 0, 2, 0, 3, 3, 3, 3, 2, 3, 1, 3, 0, 0]"
86,3943420086,[]
87,3943420087,"[1, 3, 2, 0, 3, 3, 3, 1, 1, 1, 1, 1, 2, 3, 0, 0, 0, 0, 0, 2, 2, 1, 3, 1, 0, 0, 3, 1]"
88,3943420088,"[1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 3, 2, 1, 1, 1, 1, 1, 3, 3, 3]"
89,3943420089,"[2, 1, 0, 3, 1, 1, 1, 2, 1, 1, 3, 0, 1, 2, 0, 0, 0, 1, 1, 3, 0, 2, 0, 0, 3, 1, 1, 2, 1, 1, 3, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 2]"
90,3943420090,"[0, 2, 2, 2, 3, 2, 1, 2, 2, 1, 1, 3, 0, 1, 2, 0, 3, 3, 0, 0, 2]"
91,3943420091,"[1, 3, 3, 0, 2, 1, 3, 3]"
