# VerbAtlas 1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
va:0294f	FAKE
va:0295f	DIG-UP
va:0297f	CHASE
va:0298f	HIRE
va:0299f	FUEL
va:0301f	STEAL_DEPRIVE
va:0304f	SHARE
va:0306f	PAY
va:0307f	ISOLATE
va:0309f	ACCEPT
va:0310f	SUMMARIZE
va:0311f	TREAT
va:0312f	EMPHASIZE
va:0313f	QUARREL_POLEMICIZE
va:0314f	EXPLAIN
va:0316f	RECOGNIZE_ADMIT_IDENTIFY
va:0317f	KNOW
va:0318f	WARN
va:0320f	RISK
va:0321f	GROUP
va:0322f	ALTERNATE
va:0324f	ANSWER
va:0325f	REACT
va:0326f	OPPOSE_REBEL_DISSENT
va:0327f	WRITE
va:0329f	JOKE
va:0330f	ASK_REQUEST
va:0331f	TRY
va:0332f	TYPE
va:0333f	REFUSE
va:0334f	PUBLICIZE
va:0336f	DISCUSS
va:0337f	PREPARE
va:0338f	NEGOTIATE
va:0339f	LAUGH
va:0340f	SHOUT
va:0341f	REPRESENT
va:0342f	SMILE
va:0343f	FOCUS
va:0344f	LIKE
va:0345f	TEACH
va:0346f	SIGNAL_INDICATE
va:0347f	SING
va:0348f	REVEAL
va:0349f	BETRAY
va:0354f	PAINT
va:0355f	LOWER
va:0356f	VIOLATE
va:0357f	PUBLISH
va:0358f	BUILD
va:0359f	PUSH-SOMEONE
va:0360f	FIGHT
va:0361f	PUT_APPLY_PLACE_PAVE
va:0362f	BEFRIEND
va:0364f	MEASURE_EVALUATE
va:0366f	ADD
va:0368f	MEET
va:0369f	SIGN
va:0372f	DEBASE_ADULTERATE
va:0373f	FACE_CHALLENGE
va:0379f	COUNT
va:0380f	SORT_CLASSIFY_ARRANGE
va:0382f	CREATE_MATERIALIZE
va:0384f	MANAGE
va:0385f	DELAY
va:0387f	DIRECT_AIM_MANEUVER
va:0388f	DISTURB
va:0389f	REPEAT
va:0390f	EMCEE
va:0391f	PULL
va:0392f	BLOCK
va:0394f	RUN
va:0396f	AMASS
va:0397f	FACIAL-EXPRESSION
va:0398f	PUNISH
va:0400f	EMBELLISH
va:0401f	HOST_MEAL_INVITE
va:0402f	GUARANTEE_ENSURE_PROMISE
va:0406f	TRANSLATE
va:0407f	OFFER
va:0408f	PARTICIPATE
va:0410f	COMPETE
va:0411f	RETURN
va:0413f	DECIDE_DETERMINE
va:0414f	DOWNPLAY_HUMILIATE
va:0415f	PLAY-SPORT/GAME
va:0417f	SIMULATE
va:0418f	BORDER
va:0419f	ATTACH
va:0420f	ENCLOSE_WRAP
va:0421f	FILL
va:0422f	INSERT
va:0423f	SCORE
va:0424f	AFFIRM
va:0425f	JUSTIFY_EXCUSE
va:0426f	PARDON
va:0427f	SETTLE_CONCILIATE
va:0428f	DECREASE
va:0429f	FINISH_CONCLUDE_END
va:0430f	INCREASE_ENLARGE_MULTIPLY
va:0431f	HURT_HARM_ACHE
va:0432f	WORSEN
va:0433f	AIR
va:0434f	COMBINE_MIX_UNITE
va:0435f	AROUSE_WAKE_ENLIVEN
va:0436f	HEAT
va:0437f	DIRTY
va:0438f	INFLUENCE
va:0439f	DAMAGE
va:0441f	BURN
va:0442f	COLOR
va:0443f	SHAPE
va:0444f	DRY
va:0445f	WEAKEN
va:0446f	STRENGTHEN_MAKE-RESISTANT
va:0447f	BOTHER
va:0448f	REST
va:0449f	LIGHTEN
va:0450f	BURDEN_BEAR
va:0451f	REPAIR_REMEDY
va:0452f	SLEEP
va:0453f	CAVE_CARVE
va:0454f	COOL
va:0457f	EMPTY_UNLOAD
va:0458f	CUT
va:0459f	STRAIGHTEN
va:0460f	COMMUNIZE
va:0461f	ENDANGER
va:0462f	COOK
va:0463f	TREAT
va:0464f	EXALT
va:0465f	DELIMIT_RESTRICT
va:0466f	DISORDER_RANDOMIZE
va:0468f	EXPOSE
va:0469f	PRESS_PUSH_FOLD
va:0470f	SLOW-DOWN
va:0472f	HANG
va:0473f	CLOUD_SHADOW_HIDE
va:0474f	SHARPEN
va:0475f	INVERT_REVERSE
va:0476f	ANNUL
va:0477f	COMPLEXIFY
va:0478f	PRINT
va:0479f	USE
va:0480f	DIP_DIVE
va:0481f	AUTOMATIZE
va:0482f	MESS
va:0483f	MOUNT_ASSEMBLE_PRODUCE
va:0486f	OVERCOME_SURPASS
va:0487f	SIMPLIFY
va:0489f	CONVERT-CHEMICALLY/BIOLOGICALLY/PHYSICALLY
va:0490f	FLATTEN_SMOOTHEN
va:0491f	CANCEL_ELIMINATE
va:0492f	DIM
va:0494f	HOLE_PIERCE
va:0496f	LOAD_PROVIDE_CHARGE_FURNISH
va:0497f	RESTORE-STATE_UNDO_UNWIND
va:0498f	LOOSEN
va:0500f	SPEED-UP
va:0501f	LIGHT_SHINE
va:0502f	ASSIGN
va:0503f	PROMOTE
va:0504f	ARRIVE
va:0505f	LAND_GET-OFF
va:0506f	ENTER
va:0507f	PRONOUNCE
va:0508f	OFFEND_DISESTEEM
va:0509f	STAY_DWELL
va:0511f	SEEM
va:0512f	COST
va:0514f	SWITCH-OFF_TURN-OFF_SHUT-DOWN
va:0518f	SPARKLE
va:0520f	CORRELATE
va:0521f	SEE
va:0522f	ORIENT
va:0523f	LIE
va:0524f	POPULATE
va:0525f	ATTEND
va:0526f	EXIST_LIVE
