Base (word list),TPS (word list),Past (word list),PastP (word list),PresP (word list),Force PPs (list),LF (prefix: Agent^)
halt,halts,halted,halted,halting,,halt(Agent)
go,goes,went,went,going,to,"go(Agent, _Dest)"
talk,talks,talked,talked,talking,"to, about","talk(Agent, _Conversant, _Topic)"
know,knows,knew,knew,knowing,about,"related(Agent, knows_about, Topic)"
search,searches,searched,searched,searching,for,"search_for(Agent, _Location, _Target)"
check,checks,checked,checked,checking,for,"search_for(Agent, _Location, _Target)"
look around,looks around,looked around,looked around,looking around,for,"search_for(Agent, _Location, _Target)"
